credit_history,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
existing paid,3872.0,<100,0,2.0,none,4,car,67,none,own,1,skilled,1,yes,yes,1
critical/other existing credit,4933.0,<100,5,2.0,guarantor,2,real estate,25,none,own,2,skilled,1,none,yes,0
critical/other existing credit,1940.0,>=1000,7,4.0,none,4,real estate,60,none,own,1,skilled,1,yes,yes,1
no credits/all paid,1410.0,<100,2,2.0,none,2,real estate,31,none,own,1,unskilled resident,1,yes,yes,1
existing paid,836.0,100<=X<500,0,4.0,none,2,life insurance,23,bank,own,1,unskilled resident,1,none,yes,0
existing paid,6468.0,no known savings,0,1.0,none,4,real estate,60,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,1941.0,>=1000,2,4.0,none,2,life insurance,35,none,own,1,unskilled resident,1,yes,yes,1
existing paid,2675.0,500<=X<1000,7,3.0,none,4,car,40,none,own,1,skilled,1,none,yes,1
critical/other existing credit,2751.0,no known savings,7,4.0,none,3,car,38,none,own,2,skilled,2,yes,yes,1
delayed previously,6224.0,<100,7,4.0,none,4,no known property,50,none,for free,1,skilled,1,none,yes,0
critical/other existing credit,5998.0,<100,2,4.0,none,3,no known property,27,bank,own,1,skilled,1,yes,yes,0
existing paid,1188.0,<100,7,2.0,none,4,life insurance,39,none,own,1,skilled,2,none,yes,0
existing paid,6313.0,no known savings,7,3.0,none,4,car,41,none,own,1,high qualif/self emp/mgmt,2,yes,yes,1
critical/other existing credit,1221.0,no known savings,2,1.0,none,2,life insurance,27,none,own,2,skilled,1,none,yes,1
existing paid,2892.0,<100,7,3.0,none,4,no known property,51,none,for free,1,skilled,1,none,yes,1
existing paid,3062.0,500<=X<1000,7,4.0,none,3,no known property,32,none,rent,1,skilled,1,yes,yes,1
existing paid,2301.0,100<=X<500,0,2.0,none,4,life insurance,22,none,rent,1,skilled,1,none,yes,1
existing paid,7511.0,no known savings,7,1.0,none,4,life insurance,51,none,for free,1,skilled,2,yes,yes,0
critical/other existing credit,1258.0,<100,0,2.0,none,4,life insurance,22,none,rent,2,unskilled resident,1,none,yes,1
delayed previously,717.0,no known savings,7,4.0,none,4,car,54,none,own,2,skilled,1,yes,yes,1
existing paid,1549.0,no known savings,0,4.0,none,2,real estate,35,none,own,1,unemp/unskilled non res,1,none,yes,1
critical/other existing credit,1597.0,<100,7,4.0,none,4,no known property,54,none,for free,2,skilled,2,none,yes,1
critical/other existing credit,1795.0,<100,7,3.0,guarantor,4,real estate,48,bank,rent,2,unskilled resident,1,yes,yes,1
critical/other existing credit,4272.0,<100,7,1.0,none,4,life insurance,24,none,own,2,skilled,1,none,yes,1
critical/other existing credit,976.0,no known savings,7,4.0,none,4,car,35,none,own,2,skilled,1,none,yes,1
existing paid,7472.0,no known savings,0,1.0,none,2,real estate,24,none,rent,1,unemp/unskilled non res,1,none,yes,1
existing paid,9271.0,<100,5,2.0,none,1,car,24,none,own,1,skilled,1,yes,yes,0
existing paid,590.0,<100,0,3.0,none,3,real estate,26,none,own,1,unskilled resident,1,none,no,1
critical/other existing credit,930.0,no known savings,7,4.0,none,4,real estate,65,none,own,4,skilled,1,none,yes,1
all paid,9283.0,<100,0,1.0,none,2,no known property,55,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,1
no credits/all paid,1778.0,<100,0,2.0,none,1,real estate,26,none,rent,2,unemp/unskilled non res,1,none,yes,0
existing paid,907.0,<100,0,3.0,none,2,real estate,26,none,own,1,skilled,1,yes,yes,1
existing paid,484.0,<100,5,3.0,guarantor,3,real estate,28,bank,own,1,unskilled resident,1,none,yes,1
critical/other existing credit,9629.0,<100,5,4.0,none,4,car,24,none,own,2,skilled,1,yes,yes,0
existing paid,3051.0,<100,2,3.0,none,4,car,54,none,own,1,skilled,1,none,yes,0
existing paid,3931.0,<100,5,4.0,none,4,no known property,46,none,for free,1,skilled,2,none,yes,0
delayed previously,7432.0,<100,2,2.0,none,2,life insurance,54,none,rent,1,skilled,1,none,yes,1
existing paid,1338.0,500<=X<1000,2,1.0,none,4,real estate,62,none,own,1,skilled,1,none,yes,1
critical/other existing credit,1554.0,<100,5,1.0,none,2,car,24,none,rent,2,skilled,1,yes,yes,1
existing paid,15857.0,<100,0,2.0,co applicant,3,car,43,none,own,1,high qualif/self emp/mgmt,1,none,yes,1
existing paid,1345.0,<100,2,4.0,none,3,real estate,26,bank,own,1,skilled,1,none,yes,0
existing paid,1101.0,<100,2,3.0,none,2,real estate,27,none,own,2,skilled,1,yes,yes,1
existing paid,3016.0,<100,2,3.0,none,1,car,24,none,own,1,skilled,1,none,yes,1
existing paid,2712.0,<100,7,2.0,none,2,life insurance,41,bank,own,1,skilled,2,none,yes,0
critical/other existing credit,731.0,<100,7,4.0,none,4,real estate,47,none,own,2,unskilled resident,1,none,yes,1
critical/other existing credit,3780.0,<100,0,3.0,none,2,car,35,none,own,2,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,1602.0,<100,7,4.0,none,3,car,30,none,own,2,skilled,1,yes,yes,1
critical/other existing credit,3966.0,<100,7,1.0,none,4,real estate,33,bank,rent,3,skilled,1,yes,yes,0
no credits/all paid,4165.0,<100,2,2.0,none,2,car,36,stores,own,2,skilled,2,none,yes,0
existing paid,8335.0,no known savings,7,3.0,none,4,no known property,47,none,for free,1,skilled,1,none,yes,0
delayed previously,6681.0,no known savings,2,4.0,none,4,no known property,38,none,for free,1,skilled,2,yes,yes,1
delayed previously,2375.0,500<=X<1000,2,4.0,none,2,car,44,none,own,2,skilled,2,yes,yes,1
existing paid,1216.0,<100,0,4.0,none,3,car,23,none,rent,1,skilled,1,yes,yes,0
no credits/all paid,11816.0,<100,7,2.0,none,4,car,29,none,rent,2,skilled,1,none,yes,0
existing paid,5084.0,no known savings,7,2.0,none,4,car,42,none,own,1,skilled,1,yes,yes,1
existing paid,2327.0,<100,0,2.0,none,3,real estate,25,none,own,1,unskilled resident,1,none,yes,0
no credits/all paid,1082.0,<100,2,4.0,none,4,car,48,bank,own,2,skilled,1,none,yes,0
existing paid,886.0,no known savings,2,4.0,none,2,car,21,none,own,1,skilled,1,none,yes,1
existing paid,601.0,<100,0,1.0,none,3,real estate,23,none,rent,1,unskilled resident,2,none,yes,1
critical/other existing credit,2957.0,<100,7,4.0,none,4,life insurance,63,none,own,2,skilled,1,yes,yes,1
critical/other existing credit,2611.0,<100,7,4.0,co applicant,3,real estate,46,none,own,2,skilled,1,none,yes,1
existing paid,5179.0,<100,5,4.0,none,2,life insurance,29,none,own,1,skilled,1,none,yes,0
delayed previously,2993.0,<100,2,3.0,none,2,real estate,28,stores,own,2,unskilled resident,1,none,yes,1
existing paid,1943.0,<100,0,4.0,none,4,real estate,23,none,own,1,skilled,1,none,yes,0
all paid,1559.0,<100,5,4.0,none,4,car,50,bank,own,1,skilled,1,yes,yes,1
existing paid,3422.0,<100,7,4.0,none,4,life insurance,47,bank,own,3,skilled,2,yes,yes,1
existing paid,3976.0,no known savings,5,2.0,none,3,car,35,none,own,1,skilled,1,yes,yes,1
existing paid,6761.0,no known savings,2,2.0,none,4,car,68,none,rent,2,skilled,1,none,yes,0
existing paid,1249.0,<100,0,4.0,none,2,real estate,28,none,own,1,skilled,1,none,yes,1
existing paid,1364.0,<100,5,3.0,none,4,real estate,59,none,own,1,skilled,1,none,yes,1
existing paid,709.0,<100,7,4.0,none,4,real estate,57,stores,own,1,unskilled resident,1,none,yes,0
critical/other existing credit,2235.0,<100,2,4.0,guarantor,2,life insurance,33,bank,rent,2,skilled,1,none,no,0
critical/other existing credit,4042.0,no known savings,5,3.0,none,4,life insurance,43,none,own,2,skilled,1,yes,yes,1
critical/other existing credit,1471.0,<100,2,4.0,none,4,no known property,35,none,for free,2,skilled,1,yes,yes,1
all paid,1442.0,<100,5,4.0,none,4,no known property,32,none,for free,2,unskilled resident,2,none,yes,0
delayed previously,10875.0,<100,7,2.0,none,2,car,45,none,own,2,skilled,2,yes,yes,1
existing paid,1474.0,100<=X<500,0,4.0,none,3,real estate,33,none,own,1,skilled,1,yes,yes,1
existing paid,894.0,no known savings,5,4.0,none,3,life insurance,40,none,own,1,skilled,1,yes,yes,1
critical/other existing credit,3343.0,<100,2,4.0,none,2,no known property,28,none,for free,1,skilled,1,yes,yes,1
existing paid,3959.0,<100,2,3.0,none,2,life insurance,29,none,own,1,skilled,1,yes,yes,0
existing paid,3577.0,100<=X<500,2,1.0,guarantor,2,real estate,26,none,rent,1,skilled,2,none,no,1
critical/other existing credit,5804.0,>=1000,2,4.0,none,2,real estate,27,none,own,2,skilled,1,none,yes,1
delayed previously,2169.0,<100,2,4.0,none,2,car,28,none,own,1,skilled,1,yes,yes,0
existing paid,2439.0,<100,0,4.0,none,4,real estate,35,none,own,1,skilled,1,yes,yes,0
critical/other existing credit,4526.0,>=1000,0,4.0,none,2,real estate,32,stores,own,2,unskilled resident,2,yes,yes,1
existing paid,2210.0,<100,2,2.0,none,2,real estate,25,bank,rent,1,unskilled resident,1,none,yes,0
existing paid,2221.0,500<=X<1000,2,2.0,none,4,car,20,none,rent,1,skilled,1,none,yes,1
existing paid,2389.0,<100,0,4.0,none,1,car,27,stores,own,1,skilled,1,none,yes,1
critical/other existing credit,3331.0,<100,7,2.0,none,4,life insurance,42,stores,own,1,skilled,1,none,yes,1
existing paid,7409.0,no known savings,7,3.0,none,2,life insurance,37,none,own,2,skilled,1,none,yes,1
existing paid,652.0,<100,7,4.0,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,1
delayed previously,7678.0,500<=X<1000,5,2.0,none,4,car,40,none,own,2,skilled,1,yes,yes,1
critical/other existing credit,1343.0,<100,7,1.0,none,4,real estate,46,none,own,2,skilled,2,none,no,1
critical/other existing credit,1382.0,100<=X<500,5,4.0,none,1,real estate,26,none,own,2,skilled,1,yes,yes,1
existing paid,874.0,no known savings,0,4.0,none,1,real estate,24,none,own,1,skilled,1,none,yes,1
existing paid,3590.0,<100,2,2.0,co applicant,2,life insurance,29,none,own,1,unskilled resident,2,none,yes,1
critical/other existing credit,1322.0,>=1000,2,4.0,none,4,car,40,none,own,2,skilled,1,none,yes,1
all paid,1940.0,<100,0,3.0,co applicant,4,no known property,36,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,3595.0,<100,7,4.0,none,2,car,28,none,own,1,skilled,1,none,yes,1
existing paid,1422.0,<100,0,3.0,none,2,no known property,27,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,6742.0,no known savings,5,2.0,none,3,life insurance,36,none,own,2,skilled,1,none,yes,1
existing paid,7814.0,<100,5,3.0,none,3,car,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,9277.0,no known savings,2,2.0,none,4,no known property,48,none,for free,1,skilled,1,yes,yes,1
critical/other existing credit,2181.0,no known savings,7,4.0,none,4,real estate,36,none,own,2,skilled,1,none,yes,1
critical/other existing credit,1098.0,<100,0,4.0,none,4,car,65,none,own,2,unemp/unskilled non res,1,none,yes,1
existing paid,4057.0,<100,5,3.0,none,3,car,43,none,own,1,skilled,1,yes,yes,0
existing paid,795.0,<100,0,4.0,none,4,life insurance,53,none,own,1,skilled,1,none,yes,0
critical/other existing credit,2825.0,no known savings,5,4.0,none,3,no known property,34,none,own,2,skilled,2,yes,yes,1
existing paid,15672.0,<100,2,2.0,none,2,car,23,none,own,1,skilled,1,yes,yes,0
critical/other existing credit,6614.0,<100,7,4.0,none,4,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,1
all paid,7824.0,no known savings,0,3.0,guarantor,4,real estate,40,bank,rent,2,skilled,2,yes,yes,1
critical/other existing credit,2442.0,<100,7,4.0,none,4,car,43,stores,own,4,high qualif/self emp/mgmt,2,yes,yes,1
critical/other existing credit,1829.0,<100,7,4.0,none,4,car,46,none,own,2,skilled,1,yes,yes,1
critical/other existing credit,2171.0,<100,2,4.0,none,4,life insurance,38,bank,own,2,unskilled resident,1,none,no,1
critical/other existing credit,5800.0,<100,2,3.0,none,4,car,34,none,own,2,skilled,1,yes,yes,1
critical/other existing credit,1169.0,no known savings,2,4.0,none,3,life insurance,29,none,own,2,skilled,1,yes,yes,1
delayed previously,8947.0,no known savings,5,3.0,none,2,car,31,stores,own,1,high qualif/self emp/mgmt,2,yes,yes,1
existing paid,2606.0,<100,0,4.0,none,4,life insurance,28,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,1592.0,>=1000,5,3.0,none,2,life insurance,35,none,own,1,skilled,1,none,no,1
existing paid,2186.0,no known savings,5,1.0,none,4,real estate,33,bank,rent,1,unskilled resident,1,none,yes,1
existing paid,4153.0,<100,2,2.0,co applicant,3,car,42,none,own,1,skilled,1,none,yes,0
critical/other existing credit,2625.0,<100,7,2.0,guarantor,4,life insurance,43,bank,rent,1,skilled,1,yes,yes,0
critical/other existing credit,3485.0,no known savings,0,2.0,none,4,real estate,44,none,own,2,skilled,1,yes,yes,1
critical/other existing credit,10477.0,no known savings,7,2.0,none,4,no known property,42,none,for free,2,skilled,1,none,yes,1
existing paid,1386.0,no known savings,2,4.0,none,2,real estate,40,none,rent,1,skilled,1,yes,yes,1
existing paid,1278.0,<100,7,4.0,none,1,real estate,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,1107.0,<100,2,2.0,none,2,real estate,20,none,rent,1,high qualif/self emp/mgmt,2,yes,yes,1
existing paid,3763.0,no known savings,5,2.0,co applicant,2,real estate,24,none,own,1,unskilled resident,1,none,no,1
existing paid,3711.0,no known savings,2,2.0,none,2,car,27,none,own,1,skilled,1,none,yes,1
delayed previously,3594.0,<100,0,1.0,none,2,life insurance,46,none,own,2,unskilled resident,1,none,yes,1
existing paid,3195.0,no known savings,2,1.0,none,2,real estate,33,none,own,1,unskilled resident,1,none,yes,1
delayed previously,4454.0,<100,2,4.0,none,4,real estate,34,none,own,2,skilled,1,none,yes,1
critical/other existing credit,4736.0,<100,0,2.0,none,4,car,25,bank,own,1,unskilled resident,1,none,yes,0
existing paid,2991.0,no known savings,7,2.0,none,4,car,25,none,own,1,skilled,1,none,yes,1
existing paid,2142.0,>=1000,7,1.0,none,2,real estate,28,none,own,1,skilled,1,yes,yes,1
all paid,3161.0,<100,2,4.0,none,2,life insurance,31,none,rent,1,skilled,1,yes,yes,0
no credits/all paid,18424.0,<100,2,1.0,none,2,life insurance,32,bank,own,1,high qualif/self emp/mgmt,1,yes,no,0
existing paid,2848.0,100<=X<500,2,1.0,co applicant,2,real estate,32,none,own,1,skilled,2,none,yes,1
existing paid,14896.0,<100,7,1.0,none,4,no known property,68,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,0
existing paid,2359.0,100<=X<500,0,1.0,none,1,life insurance,33,none,own,1,skilled,1,none,yes,0
existing paid,3345.0,<100,7,4.0,none,2,life insurance,39,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,1817.0,<100,2,4.0,none,2,no known property,28,none,own,2,skilled,1,none,yes,1
delayed previously,12749.0,500<=X<1000,5,4.0,none,1,car,37,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,1366.0,<100,0,3.0,none,4,life insurance,22,none,rent,1,skilled,1,none,yes,0
existing paid,2002.0,<100,5,3.0,none,4,life insurance,30,none,rent,1,skilled,2,yes,yes,1
all paid,6872.0,<100,0,2.0,none,1,life insurance,55,bank,own,1,skilled,1,yes,yes,0
all paid,697.0,<100,0,4.0,none,2,car,46,bank,own,2,skilled,1,yes,yes,0
critical/other existing credit,1049.0,<100,0,4.0,none,4,life insurance,21,none,rent,1,skilled,1,none,yes,1
existing paid,10297.0,<100,5,4.0,none,4,no known property,39,stores,for free,3,skilled,2,yes,yes,0
existing paid,1867.0,no known savings,7,4.0,none,4,car,58,none,own,1,skilled,1,yes,yes,1
delayed previously,1344.0,<100,2,4.0,none,2,real estate,43,none,own,2,unskilled resident,2,none,yes,1
existing paid,1747.0,<100,0,4.0,co applicant,1,life insurance,24,none,own,1,unskilled resident,1,none,no,1
existing paid,1670.0,<100,0,4.0,none,2,car,22,none,own,1,skilled,1,yes,yes,0
critical/other existing credit,1224.0,<100,2,3.0,none,1,real estate,30,none,own,2,skilled,1,none,yes,1
critical/other existing credit,522.0,500<=X<1000,7,4.0,none,4,life insurance,42,none,own,2,skilled,2,yes,yes,1
existing paid,1498.0,<100,2,4.0,none,1,car,23,bank,own,1,skilled,1,none,yes,1
delayed previously,1919.0,100<=X<500,0,4.0,none,3,no known property,30,stores,own,2,high qualif/self emp/mgmt,1,none,yes,0
existing paid,745.0,<100,2,3.0,none,2,real estate,28,none,own,1,unskilled resident,1,none,yes,0
existing paid,2063.0,<100,0,4.0,none,3,car,30,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,6288.0,<100,2,4.0,none,4,no known property,42,none,for free,1,skilled,1,none,yes,0
critical/other existing credit,6842.0,no known savings,2,2.0,none,4,life insurance,46,none,own,2,high qualif/self emp/mgmt,2,yes,yes,1
existing paid,3527.0,no known savings,0,2.0,none,3,life insurance,45,none,own,1,high qualif/self emp/mgmt,2,yes,yes,1
existing paid,1546.0,<100,2,3.0,none,2,real estate,31,none,own,1,unskilled resident,2,none,no,1
existing paid,929.0,no known savings,5,4.0,none,2,car,31,stores,own,1,skilled,1,yes,yes,1
critical/other existing credit,1455.0,<100,5,2.0,none,1,real estate,42,none,own,3,unskilled resident,2,none,yes,1
existing paid,1845.0,<100,0,4.0,guarantor,1,life insurance,46,none,rent,1,skilled,1,none,yes,1
no credits/all paid,8358.0,500<=X<1000,0,1.0,none,1,car,30,none,own,2,skilled,1,none,yes,1
all paid,3349.0,500<=X<1000,0,4.0,none,4,no known property,30,none,for free,1,skilled,2,yes,yes,0
existing paid,2859.0,no known savings,0,4.0,none,4,no known property,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,1533.0,<100,0,4.0,co applicant,1,life insurance,43,none,own,1,unskilled resident,2,none,yes,0
existing paid,3621.0,100<=X<500,7,2.0,none,4,car,31,none,own,2,skilled,1,none,yes,0
critical/other existing credit,3590.0,<100,0,3.0,none,3,car,40,none,own,3,unemp/unskilled non res,2,yes,yes,1
delayed previously,2145.0,<100,5,2.0,none,1,car,24,none,own,2,skilled,1,yes,yes,0
existing paid,4113.0,500<=X<1000,0,3.0,none,4,car,28,none,rent,1,skilled,1,none,yes,0
existing paid,10974.0,<100,0,4.0,none,2,car,26,none,own,2,high qualif/self emp/mgmt,1,yes,yes,0
existing paid,1893.0,<100,2,4.0,guarantor,4,life insurance,29,none,own,1,skilled,1,yes,yes,1
critical/other existing credit,1231.0,>=1000,7,4.0,none,4,life insurance,57,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,3656.0,no known savings,7,4.0,none,4,life insurance,49,stores,own,2,unskilled resident,1,none,yes,1
critical/other existing credit,1154.0,<100,7,2.0,none,4,real estate,37,none,own,3,unskilled resident,1,none,yes,1
existing paid,4006.0,<100,2,3.0,none,2,car,45,none,own,1,unskilled resident,1,none,yes,0
existing paid,3069.0,100<=X<500,7,4.0,none,4,no known property,30,none,for free,1,skilled,1,none,yes,1
critical/other existing credit,1740.0,<100,7,2.0,none,2,real estate,30,none,rent,2,skilled,1,none,yes,1
delayed previously,2353.0,<100,2,1.0,none,4,life insurance,47,none,own,2,skilled,1,none,yes,1
existing paid,3556.0,no known savings,2,3.0,none,2,no known property,29,none,own,1,skilled,1,none,yes,1
existing paid,2397.0,500<=X<1000,7,3.0,none,2,car,35,bank,own,2,skilled,1,yes,yes,0
existing paid,454.0,<100,0,3.0,none,1,life insurance,22,none,own,1,unskilled resident,1,none,yes,1
existing paid,1715.0,no known savings,2,4.0,none,1,car,26,none,own,1,skilled,1,none,yes,1
critical/other existing credit,2520.0,500<=X<1000,2,4.0,none,2,life insurance,23,none,own,2,unskilled resident,1,none,yes,0
existing paid,3568.0,<100,7,4.0,none,2,car,54,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,7166.0,no known savings,5,2.0,none,4,life insurance,29,none,rent,1,skilled,1,yes,yes,1
critical/other existing credit,3939.0,<100,2,1.0,none,2,real estate,40,none,own,2,unskilled resident,2,none,yes,1
existing paid,1514.0,100<=X<500,2,4.0,guarantor,2,real estate,22,none,own,1,skilled,1,none,yes,1
existing paid,7393.0,<100,2,1.0,none,4,life insurance,43,none,own,1,unskilled resident,2,none,yes,1
all paid,1193.0,<100,0,1.0,co applicant,4,no known property,29,none,rent,2,unemp/unskilled non res,1,none,yes,0
existing paid,7297.0,<100,7,4.0,co applicant,4,no known property,36,none,rent,1,skilled,1,none,yes,0
critical/other existing credit,2831.0,<100,2,4.0,none,2,car,33,none,own,1,skilled,1,yes,yes,1
existing paid,1258.0,500<=X<1000,2,3.0,none,3,car,57,none,own,1,unskilled resident,1,none,yes,1
existing paid,753.0,<100,2,2.0,guarantor,3,real estate,64,none,own,1,skilled,1,none,yes,1
delayed previously,2427.0,no known savings,7,4.0,none,2,life insurance,42,none,own,2,skilled,1,none,yes,1
delayed previously,2538.0,<100,7,4.0,none,4,car,47,none,own,2,unskilled resident,2,none,yes,0
all paid,1264.0,100<=X<500,2,2.0,none,2,life insurance,25,none,rent,1,skilled,1,none,yes,0
critical/other existing credit,8386.0,<100,5,2.0,none,2,life insurance,49,none,own,1,skilled,1,none,yes,0
existing paid,4844.0,<100,0,3.0,none,2,car,33,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,0
existing paid,2923.0,100<=X<500,2,1.0,none,1,car,28,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,8229.0,<100,2,2.0,none,2,life insurance,26,none,own,1,skilled,2,none,yes,0
critical/other existing credit,2028.0,<100,5,2.0,none,2,life insurance,30,none,own,2,unskilled resident,1,none,yes,1
critical/other existing credit,1433.0,<100,2,4.0,none,3,life insurance,25,none,rent,2,skilled,1,none,yes,1
no credits/all paid,6289.0,<100,0,2.0,none,1,life insurance,33,none,own,2,skilled,1,none,yes,1
existing paid,1409.0,100<=X<500,0,2.0,none,4,real estate,64,none,own,1,skilled,1,none,yes,1
existing paid,6579.0,<100,0,4.0,none,2,no known property,29,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,1743.0,<100,7,4.0,none,2,life insurance,48,none,own,2,unskilled resident,1,none,yes,1
critical/other existing credit,3565.0,no known savings,0,2.0,none,1,life insurance,37,none,own,2,unskilled resident,2,none,yes,1
all paid,1569.0,100<=X<500,7,4.0,none,4,car,34,bank,own,1,unskilled resident,2,none,yes,1
existing paid,1936.0,no known savings,5,2.0,none,4,car,23,none,rent,2,unskilled resident,1,none,yes,1
existing paid,3959.0,<100,0,4.0,none,3,life insurance,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,2390.0,no known savings,7,4.0,none,3,car,50,none,own,1,skilled,1,yes,yes,1
existing paid,1736.0,<100,5,3.0,none,4,real estate,31,none,own,1,unskilled resident,1,none,yes,1
existing paid,3857.0,<100,2,4.0,none,4,life insurance,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,804.0,<100,7,4.0,none,4,car,38,none,own,1,skilled,1,none,yes,1
existing paid,1845.0,<100,2,4.0,none,4,no known property,23,none,for free,1,skilled,1,yes,yes,0
critical/other existing credit,4576.0,100<=X<500,0,3.0,none,4,car,27,none,own,1,skilled,1,none,yes,1
